Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount,ObjectId
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1711,Comprehensive Medical,28990100,1
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1712,Dental Plan,12646800,2
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1713,Medical/dental admin. fees & taxes,5502500,3
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1714,Medical/dental - retiree,2729800,4
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1715,Paid-up Life - retiree,1149900,5
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1716,Widow & pension allowance,300000,6
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1718,A.D.&D. Insurance,665800,7
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1720,Long-term Disability - Association,206900,8
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1722,Long-term Disability - Sr. Officer,277600,9
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1730,Group Life Insurance,2371500,10
